time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
4.322837918275250E+005	3.5832605E+000	2.376163171397315E-007	0.000000000000000E+000	2.376163171397315E-007	2.376163171397315E-007	4.2800000E-001	116	4.322837918275250E+005	0.000000000000000E+000	8.999999127034061E-001	0.000000000000000E+000	2.376163171397315E-007
4.322838398275301E+005	3.5882633E+000	5.941436903344261E-006	0.000000000000000E+000	5.703820586204529E-006	5.941436903344261E-006	4.2800000E-001	116	4.322838398275301E+005	4.277864987461198E-001	8.999983895149566E-001	0.000000000000000E+000	5.941436903344261E-006
4.322840018275466E+005	3.5932660E+000	2.519295621249411E-005	0.000000000000000E+000	1.925151930914985E-005	2.519295621249411E-005	4.2800000E-001	116	4.322840018275466E+005	4.278114965186224E-001	8.999932484535570E-001	0.000000000000000E+000	2.519295621249411E-005
4.322842498275726E+005	3.5982687E+000	5.466473572784000E-005	0.000000000000000E+000	2.947177951534589E-005	5.466473572784000E-005	4.2800000E-001	116	4.322842498275726E+005	4.278161094343191E-001	8.999853781018404E-001	0.000000000000000E+000	5.466473572784000E-005
4.322845578276049E+005	3.6032712E+000	9.126704078581599E-005	0.000000000000000E+000	3.660230505797598E-005	9.126704078581599E-005	4.2800000E-001	116	4.322845578276049E+005	4.278191051290313E-001	8.999756035643274E-001	0.000000000000000E+000	9.126704078581599E-005
4.322848978276402E+005	3.6083133E+000	1.316724657846822E-004	0.000000000000000E+000	4.040542499886619E-005	1.316724657846822E-004	4.2800000E-001	116	4.322848978276402E+005	4.278221027027477E-001	8.999648134148613E-001	0.000000000000000E+000	1.316724657846822E-004
4.322852638276787E+005	3.6133161E+000	1.751681069864167E-004	0.000000000000000E+000	4.349564120173454E-005	1.751681069864167E-004	4.2800000E-001	116	4.322852638276787E+005	4.278259339461467E-001	8.999531980322808E-001	0.000000000000000E+000	1.751681069864167E-004
4.322856378277177E+005	3.6183188E+000	2.196139726870590E-004	0.000000000000000E+000	4.444586570064227E-005	2.196139726870590E-004	4.2800000E-001	116	4.322856378277177E+005	4.278211226149192E-001	8.999413288950530E-001	0.000000000000000E+000	2.196139726870590E-004
4.322860318277583E+005	3.6233609E+000	2.664371727406978E-004	0.000000000000000E+000	4.682320005363888E-005	2.664371727406978E-004	4.2800000E-001	116	4.322860318277583E+005	4.278261492977808E-001	8.999288248977042E-001	0.000000000000000E+000	2.664371727406978E-004
4.322864438278014E+005	3.6283636E+000	3.153990402486589E-004	0.000000000000000E+000	4.896186750796106E-005	3.153990402486589E-004	4.2800000E-001	116	4.322864438278014E+005	4.278220985340074E-001	8.999157497755254E-001	0.000000000000000E+000	3.153990402486589E-004
4.322869078278497E+005	3.6334057E+000	3.705409461756547E-004	0.000000000000000E+000	5.514190592699581E-005	3.705409461756547E-004	4.2800000E-001	116	4.322869078278497E+005	4.278250876129452E-001	8.999010242923307E-001	0.000000000000000E+000	3.705409461756547E-004
4.322873638278972E+005	3.6384084E+000	4.247324306435055E-004	0.000000000000000E+000	5.419148446785079E-005	4.247324306435055E-004	4.2800000E-001	116	4.322873638278972E+005	4.278274643885044E-001	8.998865526163808E-001	0.000000000000000E+000	4.247324306435055E-004
4.322878238279456E+005	3.6434109E+000	4.793986770841810E-004	0.000000000000000E+000	5.466624644067553E-005	4.793986770841811E-004	4.2800000E-001	116	4.322878238279456E+005	4.278227532248656E-001	8.998719541566477E-001	0.000000000000000E+000	4.793986770841810E-004
4.322883078279961E+005	3.6484137E+000	5.369169429772430E-004	0.000000000000000E+000	5.751826589306196E-005	5.369169429772430E-004	4.2800000E-001	116	4.322883078279961E+005	4.278217678222030E-001	8.998565940735392E-001	0.000000000000000E+000	5.369169429772430E-004
4.322888178280490E+005	3.6534164E+000	5.975249983701440E-004	0.000000000000000E+000	6.060805539290110E-005	5.975249983701441E-004	4.2800000E-001	116	4.322888178280490E+005	4.278215231352912E-001	8.998404088712660E-001	0.000000000000000E+000	5.975249983701440E-004
4.322893558281055E+005	3.6584978E+000	6.614609301421377E-004	0.000000000000000E+000	6.393593177199363E-005	6.614609301421378E-004	4.2800000E-001	116	4.322893558281055E+005	4.278240338262417E-001	8.998233349694300E-001	0.000000000000000E+000	6.614609301421377E-004
4.322899258281644E+005	3.6635005E+000	7.292004417048560E-004	0.000000000000000E+000	6.773951156271829E-005	7.292004417048560E-004	4.2800000E-001	116	4.322899258281644E+005	4.278284498178360E-001	8.998052453328393E-001	0.000000000000000E+000	7.292004417048560E-004
4.322905138282264E+005	3.6685426E+000	7.990777228441503E-004	0.000000000000000E+000	6.987728113929431E-005	7.990777228441503E-004	4.2800000E-001	116	4.322905138282264E+005	4.278200435545627E-001	8.997865848111941E-001	0.000000000000000E+000	7.990777228441503E-004
4.322911458282918E+005	3.6735454E+000	8.741849930749999E-004	0.000000000000000E+000	7.510727023084959E-005	8.741849930749999E-004	4.2800000E-001	116	4.322911458282918E+005	4.278261785562136E-001	8.997665276364012E-001	0.000000000000000E+000	8.741849930749999E-004
4.322918078283612E+005	3.6785479E+000	9.528567599256833E-004	0.000000000000000E+000	7.867176685068342E-005	9.528567599256833E-004	4.2800000E-001	116	4.322918078283612E+005	4.278222522263749E-001	8.997455185733088E-001	0.000000000000000E+000	9.528567599256833E-004
