time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
3.128779053725223E+005	3.4414377E+000	9.986664685938093E-008	0.000000000000000E+000	9.986664685938093E-008	9.986664685938093E-008	1.7999999E-001	116	3.128779053725223E+005	0.000000000000000E+000	8.999999444525525E-001	0.000000000000000E+000	9.986664685938093E-008
3.128780013725322E+005	3.4465191E+000	4.894986922542254E-006	0.000000000000000E+000	4.795120275682873E-006	4.894986922542254E-006	1.7999999E-001	116	3.128780013725322E+005	1.798169917666460E-001	8.999984221012961E-001	0.000000000000000E+000	4.894986922542254E-006
3.128784253725763E+005	3.4515219E+000	2.607478187315994E-005	0.000000000000000E+000	2.117979495061768E-005	2.607478187315994E-005	1.7999999E-001	116	3.128784253725763E+005	1.798284289813864E-001	8.999916979555814E-001	0.000000000000000E+000	2.607478187315994E-005
3.128789853726346E+005	3.4565639E+000	5.404857317606608E-005	0.000000000000000E+000	2.797379130290614E-005	5.404857317606608E-005	1.7999999E-001	116	3.128789853726346E+005	1.798314968086472E-001	8.999828168569044E-001	0.000000000000000E+000	5.404857317606608E-005
3.128796013726993E+005	3.4616060E+000	8.482111484640174E-005	0.000000000000000E+000	3.077254167033566E-005	8.482111484640175E-005	1.7999999E-001	116	3.128796013726993E+005	1.798395103682143E-001	8.999730472130204E-001	0.000000000000000E+000	8.482111484640174E-005
3.128802793727699E+005	3.4666483E+000	1.186898947093222E-004	0.000000000000000E+000	3.386877986292045E-005	1.186898947093222E-004	1.7999999E-001	116	3.128802793727699E+005	1.798342106291484E-001	8.999622945777135E-001	0.000000000000000E+000	1.186898947093222E-004
3.128809653728416E+005	3.4716508E+000	1.529592027018467E-004	0.000000000000000E+000	3.426930799252457E-005	1.529592027018467E-004	1.7999999E-001	116	3.128809653728416E+005	1.798389152752975E-001	8.999514147830308E-001	0.000000000000000E+000	1.529592027018467E-004
3.128816873729168E+005	3.4766536E+000	1.890270624806483E-004	0.000000000000000E+000	3.606785977880160E-005	1.890270624806483E-004	1.7999999E-001	116	3.128816873729168E+005	1.798397253004242E-001	8.999399639854504E-001	0.000000000000000E+000	1.890270624806483E-004
3.128824493729966E+005	3.4816563E+000	2.270928243050972E-004	0.000000000000000E+000	3.806576182444890E-005	2.270928243050973E-004	1.7999999E-001	116	3.128824493729966E+005	1.798382260224210E-001	8.999278788953989E-001	0.000000000000000E+000	2.270928243050972E-004
3.128832293730779E+005	3.4866984E+000	2.660578346418010E-004	0.000000000000000E+000	3.896501033670373E-005	2.660578346418010E-004	1.7999999E-001	116	3.128832293730779E+005	1.798384905048868E-001	8.999155083125915E-001	0.000000000000000E+000	2.660578346418010E-004
3.128840413731625E+005	3.4917011E+000	3.066212366438574E-004	0.000000000000000E+000	4.056340200205644E-005	3.066212366438574E-004	1.7999999E-001	116	3.128840413731625E+005	1.798377241143241E-001	8.999026302735744E-001	0.000000000000000E+000	3.066212366438574E-004
3.128848793732496E+005	3.4967432E+000	3.484826423890061E-004	0.000000000000000E+000	4.186140574514866E-005	3.484826423890061E-004	1.7999999E-001	116	3.128848793732496E+005	1.798341826071900E-001	8.998893401452842E-001	0.000000000000000E+000	3.484826423890061E-004
3.128857573733414E+005	3.5017459E+000	3.923429680036174E-004	0.000000000000000E+000	4.386032561461131E-005	3.923429680036174E-004	1.7999999E-001	116	3.128857573733414E+005	1.798373071873423E-001	8.998754154013848E-001	0.000000000000000E+000	3.923429680036174E-004
3.128866573734351E+005	3.5067487E+000	4.373018814209435E-004	0.000000000000000E+000	4.495891341732608E-005	4.373018814209435E-004	1.7999999E-001	116	3.128866573734351E+005	1.798356349389000E-001	8.998611418786383E-001	0.000000000000000E+000	4.373018814209435E-004
3.128875993735334E+005	3.5117514E+000	4.843595266093811E-004	0.000000000000000E+000	4.705764518843757E-005	4.843595266093811E-004	1.7999999E-001	116	3.128875993735334E+005	1.798381157127717E-001	8.998462020520734E-001	0.000000000000000E+000	4.843595266093811E-004
3.128885553736333E+005	3.5167542E+000	5.321174749814802E-004	0.000000000000000E+000	4.775794837209914E-005	5.321174749814802E-004	1.7999999E-001	116	3.128885553736333E+005	1.798416277983144E-001	8.998310398937693E-001	0.000000000000000E+000	5.321174749814802E-004
3.128895613737381E+005	3.5217962E+000	5.823717721634441E-004	0.000000000000000E+000	5.025429718196392E-005	5.823717721634441E-004	1.7999999E-001	116	3.128895613737381E+005	1.798364324090918E-001	8.998150851964820E-001	0.000000000000000E+000	5.823717721634441E-004
3.128906173738483E+005	3.5268383E+000	6.351248805638817E-004	0.000000000000000E+000	5.275310840043757E-005	6.351248805638816E-004	1.7999999E-001	116	3.128906173738483E+005	1.798401235021093E-001	8.997983371784479E-001	0.000000000000000E+000	6.351248805638817E-004
3.128917353739645E+005	3.5318410E+000	6.909752230015066E-004	0.000000000000000E+000	5.585034243762493E-005	6.909752230015066E-004	1.7999999E-001	116	3.128917353739645E+005	1.798400821808284E-001	8.997806058528310E-001	0.000000000000000E+000	6.909752230015066E-004
