time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
2.557378394123502E+005	3.4366138E+000	1.194489167796241E-007	0.000000000000000E+000	1.194489167796241E-007	1.194489167796241E-007	2.1519999E-001	116	2.557378394123502E+005	0.000000000000000E+000	8.999999444351687E-001	0.000000000000000E+000	1.194489167796241E-007
2.557379354123601E+005	3.4416947E+000	5.855503115389083E-006	0.000000000000000E+000	5.736054198609458E-006	5.855503115389083E-006	2.1519999E-001	116	2.557379354123601E+005	2.151020102321636E-001	8.999984210668607E-001	0.000000000000000E+000	5.855503115389083E-006
2.557384014124088E+005	3.4467363E+000	3.370197372304068E-005	0.000000000000000E+000	2.784647060765160E-005	3.370197372304069E-005	2.1519999E-001	116	2.557384014124088E+005	2.151229264294280E-001	8.999910256641418E-001	0.000000000000000E+000	3.370197372304068E-005
2.557389934124704E+005	3.4517386E+000	6.907868375380834E-005	0.000000000000000E+000	3.537671003076766E-005	6.907868375380834E-005	2.1519999E-001	116	2.557389934124704E+005	2.151286196772337E-001	8.999816303974585E-001	0.000000000000000E+000	6.907868375380834E-005
2.557396274125362E+005	3.4567802E+000	1.069652547107802E-004	0.000000000000000E+000	3.788657095697191E-005	1.069652547107802E-004	2.1519999E-001	116	2.557396274125362E+005	2.151287717717544E-001	8.999715685675838E-001	0.000000000000000E+000	1.069652547107802E-004
2.557403154126080E+005	3.4617825E+000	1.480783910387092E-004	0.000000000000000E+000	4.111313632792896E-005	1.480783910387092E-004	2.1519999E-001	116	2.557403154126080E+005	2.151268536857138E-001	8.999606498337712E-001	0.000000000000000E+000	1.480783910387092E-004
2.557410274126825E+005	3.4667845E+000	1.906255600684219E-004	0.000000000000000E+000	4.254716902971268E-005	1.906255600684219E-004	2.1519999E-001	116	2.557410274126825E+005	2.151261130146059E-001	8.999493502527953E-001	0.000000000000000E+000	1.906255600684219E-004
2.557417594127590E+005	3.4717867E+000	2.343694508572420E-004	0.000000000000000E+000	4.374389078882006E-005	2.343694508572420E-004	2.1519999E-001	116	2.557417594127590E+005	2.151338666583096E-001	8.999377328491598E-001	0.000000000000000E+000	2.343694508572420E-004
2.557425154128377E+005	3.4767890E+000	2.795465754303668E-004	0.000000000000000E+000	4.517712457312478E-005	2.795465754303668E-004	2.1519999E-001	116	2.557425154128377E+005	2.151291422249516E-001	8.999257348105355E-001	0.000000000000000E+000	2.795465754303668E-004
2.557433114129207E+005	3.4817913E+000	3.271144841114680E-004	0.000000000000000E+000	4.756790868110127E-005	3.271144841114680E-004	2.1519999E-001	116	2.557433114129207E+005	2.151312228655730E-001	8.999131018328720E-001	0.000000000000000E+000	3.271144841114680E-004
