time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
4.132426058413750E+005	3.5714145E+000	1.495673093530867E-007	0.000000000000000E+000	1.495673093530867E-007	1.495673093530867E-007	2.6940000E-001	116	4.132426058413750E+005	0.000000000000000E+000	8.999999126836707E-001	0.000000000000000E+000	1.495673093530867E-007
4.132426338413777E+005	3.5765347E+000	2.243214050928752E-006	0.000000000000000E+000	2.093646741575665E-006	2.243214050928752E-006	2.6940000E-001	116	4.132426338413777E+005	2.691831262726272E-001	8.999990241665161E-001	0.000000000000000E+000	2.243214050928752E-006
4.132427358413879E+005	3.5815370E+000	9.870938741498523E-006	0.000000000000000E+000	7.627724690569771E-006	9.870938741498523E-006	2.6940000E-001	116	4.132427358413879E+005	2.692137856873758E-001	8.999957870567863E-001	0.000000000000000E+000	9.870938741498523E-006
4.132429158414071E+005	3.5865786E+000	2.333252181609471E-005	0.000000000000000E+000	1.346158307459619E-005	2.333252181609472E-005	2.6940000E-001	116	4.132429158414071E+005	2.692316326845118E-001	8.999900741314623E-001	0.000000000000000E+000	2.333252181609471E-005
4.132431498414315E+005	3.5915806E+000	4.083252070678604E-005	0.000000000000000E+000	1.749999889069133E-005	4.083252070678605E-005	2.6940000E-001	116	4.132431498414315E+005	2.692307241072461E-001	8.999826473536249E-001	0.000000000000000E+000	4.083252070678604E-005
4.132434138414590E+005	3.5965829E+000	6.057578845156563E-005	0.000000000000000E+000	1.974326774477959E-005	6.057578845156564E-005	2.6940000E-001	116	4.132434138414590E+005	2.692263503541818E-001	8.999742685609038E-001	0.000000000000000E+000	6.057578845156563E-005
4.132437158414905E+005	3.6015849E+000	8.316107574436399E-005	0.000000000000000E+000	2.258528729279836E-005	8.316107574436400E-005	2.6940000E-001	116	4.132437158414905E+005	2.692285620977908E-001	8.999646836510896E-001	0.000000000000000E+000	8.316107574436399E-005
4.132440418415247E+005	3.6066265E+000	1.075411597390970E-004	0.000000000000000E+000	2.438008399473296E-005	1.075411597390970E-004	2.6940000E-001	116	4.132440418415247E+005	2.692278932438900E-001	8.999543370522918E-001	0.000000000000000E+000	1.075411597390970E-004
4.132443978415616E+005	3.6116681E+000	1.341658370362388E-004	0.000000000000000E+000	2.662467729714182E-005	1.341658370362388E-004	2.6940000E-001	116	4.132443978415616E+005	2.692382818147757E-001	8.999430378765311E-001	0.000000000000000E+000	1.341658370362388E-004
4.132447558415988E+005	3.6166701E+000	1.609396547575792E-004	0.000000000000000E+000	2.677381772134039E-005	1.609396547575792E-004	2.6940000E-001	116	4.132447558415988E+005	2.692338931985345E-001	8.999316754074638E-001	0.000000000000000E+000	1.609396547575792E-004
