time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
3.584625561273713E+005	3.7770894E+000	1.158866451846229E-007	0.000000000000000E+000	1.158866451846229E-007	1.158866451846229E-007	2.0880000E-001	116	3.584625561273713E+005	0.000000000000000E+000	8.999999446465365E-001	0.000000000000000E+000	1.158866451846229E-007
3.584625841273740E+005	3.7821708E+000	1.738551391495599E-006	0.000000000000000E+000	1.622664746310976E-006	1.738551391495599E-006	2.0880000E-001	116	3.584625841273740E+005	2.086283042074422E-001	8.999995034156127E-001	0.000000000000000E+000	1.738551391495599E-006
3.584626801273841E+005	3.7871737E+000	7.302631586790085E-006	0.000000000000000E+000	5.564080195294486E-006	7.302631586790085E-006	2.0880000E-001	116	3.584626801273841E+005	2.086529852678560E-001	8.999979904448959E-001	0.000000000000000E+000	7.302631586790085E-006
3.584628361274004E+005	3.7921765E+000	1.634475575553046E-005	0.000000000000000E+000	9.042124168740378E-006	1.634475575553046E-005	2.0880000E-001	116	3.584628361274004E+005	2.086643821485492E-001	8.999955317331944E-001	0.000000000000000E+000	1.634475575553046E-005
3.584630281274205E+005	3.7971792E+000	2.747328824467129E-005	0.000000000000000E+000	1.112853248914083E-005	2.747328824467129E-005	2.0880000E-001	116	3.584630281274205E+005	2.086599623679993E-001	8.999925056905806E-001	0.000000000000000E+000	2.747328824467129E-005
3.584632521274434E+005	3.8021820E+000	4.045660898089409E-005	0.000000000000000E+000	1.298332073622280E-005	4.045660898089409E-005	2.0880000E-001	116	3.584632521274434E+005	2.086604904263308E-001	8.999889752986037E-001	0.000000000000000E+000	4.045660898089409E-005
3.584635141274715E+005	3.8072636E+000	5.564230129122734E-005	0.000000000000000E+000	1.518569231033325E-005	5.564230129122734E-005	2.0880000E-001	116	3.584635141274715E+005	2.086583452885043E-001	8.999848460432779E-001	0.000000000000000E+000	5.564230129122734E-005
3.584638201275030E+005	3.8123846E+000	7.337897724575467E-005	0.000000000000000E+000	1.773667595452732E-005	7.337897724575467E-005	2.0880000E-001	116	3.584638201275030E+005	2.086667544341724E-001	8.999800231308844E-001	0.000000000000000E+000	7.337897724575467E-005
3.584641721275393E+005	3.8173873E+000	9.378184495700730E-005	0.000000000000000E+000	2.040286771125264E-005	9.378184495700730E-005	2.0880000E-001	116	3.584641721275393E+005	2.086656709965075E-001	8.999744752343225E-001	0.000000000000000E+000	9.378184495700730E-005
3.584645861275829E+005	3.8223901E+000	1.177781726916631E-004	0.000000000000000E+000	2.399632773465581E-005	1.177781726916631E-004	2.0880000E-001	116	3.584645861275829E+005	2.086636974336455E-001	8.999679502131333E-001	0.000000000000000E+000	1.177781726916631E-004
3.584650881276354E+005	3.8273928E+000	1.468755265242523E-004	0.000000000000000E+000	2.909735383258926E-005	1.468755265242524E-004	2.0880000E-001	116	3.584650881276354E+005	2.086662606496447E-001	8.999600381337347E-001	0.000000000000000E+000	1.468755265242523E-004
3.584657141277008E+005	3.8324351E+000	1.831607197059525E-004	0.000000000000000E+000	3.628519318170018E-005	1.831607197059526E-004	2.0880000E-001	116	3.584657141277008E+005	2.086688207927449E-001	8.999501715551071E-001	0.000000000000000E+000	1.831607197059525E-004
3.584665241277851E+005	3.8374379E+000	2.301105376415782E-004	0.000000000000000E+000	4.694981793562571E-005	2.301105376415783E-004	2.0880000E-001	116	3.584665241277851E+005	2.086658357645143E-001	8.999374050784925E-001	0.000000000000000E+000	2.301105376415782E-004
3.584675801278949E+005	3.8424406E+000	2.913187249004841E-004	0.000000000000000E+000	6.120818725890584E-005	2.913187249004841E-004	2.0880000E-001	116	3.584675801278949E+005	2.086642530574479E-001	8.999207615018905E-001	0.000000000000000E+000	2.913187249004841E-004
3.584690361280469E+005	3.8474436E+000	3.757123945322302E-004	0.000000000000000E+000	8.439366963174608E-005	3.757123945322302E-004	2.0880000E-001	116	3.584690361280469E+005	2.086656448818180E-001	8.998978133871340E-001	0.000000000000000E+000	3.757123945322302E-004
3.584709561282471E+005	3.8524463E+000	4.870017358991835E-004	0.000000000000000E+000	1.112893413669533E-004	4.870017358991835E-004	2.0880000E-001	116	3.584709561282471E+005	2.086674933094679E-001	8.998675518688473E-001	0.000000000000000E+000	4.870017358991835E-004
3.584734961285123E+005	3.8574884E+000	6.342260933750206E-004	0.000000000000000E+000	1.472243574758371E-004	6.342260933750206E-004	2.0880000E-001	116	3.584734961285123E+005	2.086644218774275E-001	8.998275189912034E-001	0.000000000000000E+000	6.342260933750206E-004
3.584766801288445E+005	3.8624911E+000	8.187786785595947E-004	0.000000000000000E+000	1.845525851845741E-004	8.187786785595947E-004	2.0880000E-001	116	3.584766801288445E+005	2.086649614818518E-001	8.997773359156022E-001	0.000000000000000E+000	8.187786785595947E-004
3.584806161292549E+005	3.8675728E+000	1.046922284182575E-003	0.000000000000000E+000	2.281436056229803E-004	1.046922284182575E-003	2.0880000E-001	116	3.584806161292549E+005	2.086679102112189E-001	8.997152996791686E-001	0.000000000000000E+000	1.046922284182575E-003
3.584854541297592E+005	3.8725755E+000	1.327346438699299E-003	0.000000000000000E+000	2.804241545167234E-004	1.327346438699299E-003	2.0880000E-001	116	3.584854541297592E+005	2.086661535820304E-001	8.996390474471424E-001	0.000000000000000E+000	1.327346438699299E-003
3.584911501303539E+005	3.8776178E+000	1.657503408855862E-003	0.000000000000000E+000	3.301569701565637E-004	1.657503408855862E-003	2.0880000E-001	116	3.584911501303539E+005	2.086666026125216E-001	8.995492719927531E-001	0.000000000000000E+000	1.657503408855862E-003
3.584979521310637E+005	3.8826206E+000	2.051771565592951E-003	0.000000000000000E+000	3.942681567370892E-004	2.051771565592951E-003	2.0880000E-001	116	3.584979521310637E+005	2.086688056657526E-001	8.994420635854750E-001	0.000000000000000E+000	2.051771565592951E-003
3.585060001319025E+005	3.8876233E+000	2.518257578644488E-003	0.000000000000000E+000	4.664860130515364E-004	2.518257578644488E-003	2.0880000E-001	116	3.585060001319025E+005	2.086666838900957E-001	8.993152178800274E-001	0.000000000000000E+000	2.518257578644488E-003
3.585152201328643E+005	3.8926656E+000	3.052672011471457E-003	0.000000000000000E+000	5.344144328269693E-004	3.052672011471457E-003	2.0880000E-001	116	3.585152201328643E+005	2.086650496186545E-001	8.991699012492246E-001	0.000000000000000E+000	3.052672011471457E-003
3.585260121339904E+005	3.8976684E+000	3.678211498459180E-003	0.000000000000000E+000	6.255394869877232E-004	3.678211498459180E-003	2.0880000E-001	116	3.585260121339904E+005	2.086677092452592E-001	8.989998061224851E-001	0.000000000000000E+000	3.678211498459180E-003
3.585383581352783E+005	3.9026711E+000	4.393828189687596E-003	0.000000000000000E+000	7.156166912284163E-004	4.393828189687596E-003	2.0880000E-001	116	3.585383581352783E+005	2.086683800156849E-001	8.988052174285280E-001	0.000000000000000E+000	4.393828189687596E-003
3.585527461367787E+005	3.9076738E+000	5.227806492365069E-003	0.000000000000000E+000	8.339783026774725E-004	5.227806492365069E-003	2.0880000E-001	116	3.585527461367787E+005	2.086684442975806E-001	8.985784441423602E-001	0.000000000000000E+000	5.227806492365069E-003
3.585697381385509E+005	3.9126768E+000	6.212731872846683E-003	0.000000000000000E+000	9.849253804816141E-004	6.212731872846683E-003	2.0880000E-001	116	3.585697381385509E+005	2.086706096949249E-001	8.983106257057835E-001	0.000000000000000E+000	6.212731872846683E-003
3.585888181405412E+005	3.9176795E+000	7.318682583173116E-003	0.000000000000000E+000	1.105950710326433E-003	7.318682583173116E-003	2.0880000E-001	116	3.585888181405412E+005	2.086699235774186E-001	8.980098983653776E-001	0.000000000000000E+000	7.318682583173116E-003
3.586088181426274E+005	3.9219339E+000	8.477962130076355E-003	0.000000000000000E+000	1.159279546903239E-003	8.477962130076355E-003	2.0880000E-001	116	3.586088181426274E+005	2.086702966765750E-001	8.976946699816241E-001	0.000000000000000E+000	8.477962130076355E-003
3.586288181447135E+005	3.9257548E+000	9.637234552386733E-003	0.000000000000000E+000	1.159272422310379E-003	9.637234552386735E-003	2.0880000E-001	116	3.586288181447135E+005	2.086690142499938E-001	8.973794435351720E-001	0.000000000000000E+000	9.637234552386733E-003
3.586488181467997E+005	3.9294183E+000	1.079650083507101E-002	0.000000000000000E+000	1.159266282684273E-003	1.079650083507101E-002	2.0880000E-001	116	3.586488181467997E+005	2.086679091174102E-001	8.970642187581916E-001	0.000000000000000E+000	1.079650083507101E-002
3.586688181488859E+005	3.9326878E+000	1.195576986471812E-002	0.000000000000000E+000	1.159269029647112E-003	1.195576986471812E-002	2.0880000E-001	116	3.586688181488859E+005	2.086684035706695E-001	8.967489932342640E-001	0.000000000000000E+000	1.195576986471812E-002
3.586888181509720E+005	3.9357605E+000	1.311502894620101E-002	0.000000000000000E+000	1.159259081482887E-003	1.311502894620101E-002	2.0880000E-001	116	3.586888181509720E+005	2.086666129012958E-001	8.964337704154164E-001	0.000000000000000E+000	1.311502894620101E-002
3.587088181530582E+005	3.9385574E+000	1.427429255853097E-002	0.000000000000000E+000	1.159263612329960E-003	1.427429255853097E-002	2.0880000E-001	116	3.587088181530582E+005	2.086674284536839E-001	8.961185463645520E-001	0.000000000000000E+000	1.427429255853097E-002
3.587288181551443E+005	3.9412754E+000	1.543355387260516E-002	0.000000000000000E+000	1.159261314074198E-003	1.543355387260516E-002	2.0880000E-001	116	3.587288181551443E+005	2.086670147676900E-001	8.958033229386236E-001	0.000000000000000E+000	1.543355387260516E-002
3.587488181572305E+005	3.9437177E+000	1.659281066677637E-002	0.000000000000000E+000	1.159256794171201E-003	1.659281066677637E-002	2.0880000E-001	116	3.587488181572305E+005	2.086662011852352E-001	8.954881007417360E-001	0.000000000000000E+000	1.659281066677637E-002
3.587688181593167E+005	3.9463174E+000	1.775207059095303E-002	0.000000000000000E+000	1.159259924176667E-003	1.775207059095303E-002	2.0880000E-001	116	3.587688181593167E+005	2.086667645861603E-001	8.951728776937451E-001	0.000000000000000E+000	1.775207059095303E-002
3.587888181614028E+005	3.9486415E+000	1.891132904862364E-002	0.000000000000000E+000	1.159258457670609E-003	1.891132904862364E-002	2.0880000E-001	116	3.587888181614028E+005	2.086665006150975E-001	8.948576550445227E-001	0.000000000000000E+000	1.891132904862364E-002
3.588088181634890E+005	3.9508870E+000	2.007058583185077E-002	0.000000000000000E+000	1.159256783227126E-003	2.007058583185077E-002	2.0880000E-001	116	3.588088181634890E+005	2.086661992153019E-001	8.945424328506110E-001	0.000000000000000E+000	2.007058583185077E-002
3.588288181655752E+005	3.9528959E+000	2.122983945224020E-002	0.000000000000000E+000	1.159253620389435E-003	2.122983945224020E-002	2.0880000E-001	116	3.588288181655752E+005	2.086656299045770E-001	8.942272115167300E-001	0.000000000000000E+000	2.122983945224020E-002
3.588488181676613E+005	3.9549837E+000	2.238909497689870E-002	0.000000000000000E+000	1.159255524658494E-003	2.238909497689870E-002	2.0880000E-001	116	3.588488181676613E+005	2.086659726729719E-001	8.939119896650450E-001	0.000000000000000E+000	2.238909497689870E-002
3.588688181697475E+005	3.9569139E+000	2.354836017611954E-002	0.000000000000000E+000	1.159265199220843E-003	2.354836017611954E-002	2.0880000E-001	116	3.588688181697475E+005	2.086677140940130E-001	8.935967651826774E-001	0.000000000000000E+000	2.354836017611954E-002
3.588888181718336E+005	3.9588442E+000	2.470759180986219E-002	0.000000000000000E+000	1.159231633742650E-003	2.470759180986219E-002	2.0880000E-001	116	3.588888181718336E+005	2.086616723085686E-001	8.932815498273502E-001	0.000000000000000E+000	2.470759180986219E-002
3.589088181739198E+005	3.9605775E+000	2.586681579369638E-002	0.000000000000000E+000	1.159223983834187E-003	2.586681579369638E-002	2.0880000E-001	116	3.589088181739198E+005	2.086602953251888E-001	8.929663365521670E-001	0.000000000000000E+000	2.586681579369638E-002
3.589288181760060E+005	3.9624681E+000	2.702605182695720E-002	0.000000000000000E+000	1.159236033260822E-003	2.702605182695720E-002	2.0880000E-001	116	3.589288181760060E+005	2.086624642217569E-001	8.926511200005339E-001	0.000000000000000E+000	2.702605182695720E-002
3.589488181780921E+005	3.9640834E+000	2.818529069473346E-002	0.000000000000000E+000	1.159238867776261E-003	2.818529069473346E-002	2.0880000E-001	116	3.589488181780921E+005	2.086629744344827E-001	8.923359026781466E-001	0.000000000000000E+000	2.818529069473346E-002
3.589688181801783E+005	3.9659741E+000	2.934453064597315E-002	0.000000000000000E+000	1.159239951239692E-003	2.934453064597315E-002	2.0880000E-001	116	3.589688181801783E+005	2.086631694578799E-001	8.920206850611465E-001	0.000000000000000E+000	2.934453064597315E-002
3.589888181822645E+005	3.9675498E+000	3.050376999528872E-002	0.000000000000000E+000	1.159239349315564E-003	3.050376999528872E-002	2.0880000E-001	116	3.589888181822645E+005	2.086630611115481E-001	8.917054676078201E-001	0.000000000000000E+000	3.050376999528872E-002
3.590088181843506E+005	3.9692042E+000	3.166301024201844E-002	0.000000000000000E+000	1.159240246729718E-003	3.166301024201843E-002	2.0880000E-001	116	3.590088181843506E+005	2.086632226460791E-001	8.913902499104712E-001	0.000000000000000E+000	3.166301024201844E-002
3.590288181864368E+005	3.9708588E+000	3.282223524365160E-002	0.000000000000000E+000	1.159225001633167E-003	3.282223524365160E-002	2.0880000E-001	116	3.590288181864368E+005	2.086604785289861E-001	8.910750363585306E-001	0.000000000000000E+000	3.282223524365160E-002
3.590488181885229E+005	3.9724345E+000	3.398145722472005E-002	0.000000000000000E+000	1.159221981068452E-003	3.398145722472005E-002	2.0880000E-001	116	3.590488181885229E+005	2.086599348273941E-001	8.907598236279344E-001	0.000000000000000E+000	3.398145722472005E-002
3.590688181906091E+005	3.9740496E+000	3.514067675431570E-002	0.000000000000000E+000	1.159219529595640E-003	3.514067675431570E-002	2.0880000E-001	116	3.590688181906091E+005	2.086594935623339E-001	8.904446115639365E-001	0.000000000000000E+000	3.514067675431570E-002
3.590888181926953E+005	3.9755857E+000	3.629989957807793E-002	0.000000000000000E+000	1.159222823762232E-003	3.629989957807792E-002	2.0880000E-001	116	3.590888181926953E+005	2.086600865122586E-001	8.901293986041972E-001	0.000000000000000E+000	3.629989957807793E-002
3.591088181947814E+005	3.9770038E+000	3.745911398584644E-002	0.000000000000000E+000	1.159214407768514E-003	3.745911398584644E-002	2.0880000E-001	116	3.591088181947814E+005	2.086585716335475E-001	8.898141879329137E-001	0.000000000000000E+000	3.745911398584644E-002
3.591288181968676E+005	3.9784219E+000	3.861832466168536E-002	0.000000000000000E+000	1.159210675838921E-003	3.861832466168536E-002	2.0880000E-001	116	3.591288181968676E+005	2.086578998862907E-001	8.894989782764071E-001	0.000000000000000E+000	3.861832466168536E-002
3.591488181989538E+005	3.9797614E+000	3.977753962760171E-002	0.000000000000000E+000	1.159214965916342E-003	3.977753962760170E-002	2.0880000E-001	116	3.591488181989538E+005	2.086586721001460E-001	8.891837674533535E-001	0.000000000000000E+000	3.977753962760171E-002
3.591688182010399E+005	3.9811008E+000	4.093673996128970E-002	0.000000000000000E+000	1.159200333687994E-003	4.093673996128970E-002	2.0880000E-001	116	3.591688182010399E+005	2.086560382993181E-001	8.888685606090586E-001	0.000000000000000E+000	4.093673996128970E-002
3.591888182031261E+005	3.9825976E+000	4.209594548246927E-002	0.000000000000000E+000	1.159205521179570E-003	4.209594548246927E-002	2.0880000E-001	116	3.591888182031261E+005	2.086569720477044E-001	8.885533523541941E-001	0.000000000000000E+000	4.209594548246927E-002
3.592088182052122E+005	3.9839370E+000	4.325513708278537E-002	0.000000000000000E+000	1.159191600316101E-003	4.325513708278537E-002	2.0880000E-001	116	3.592088182052122E+005	2.086544662925413E-001	8.882381478846557E-001	0.000000000000000E+000	4.325513708278537E-002
3.592288182072984E+005	3.9851186E+000	4.441434831677211E-002	0.000000000000000E+000	1.159211233986749E-003	4.441434831677211E-002	2.0880000E-001	116	3.592288182072984E+005	2.086580003528893E-001	8.879229380763790E-001	0.000000000000000E+000	4.441434831677211E-002
3.592488182093846E+005	3.9866943E+000	4.557354171191652E-002	0.000000000000000E+000	1.159193395144410E-003	4.557354171191653E-002	2.0880000E-001	116	3.592488182093846E+005	2.086547893616032E-001	8.876077331187955E-001	0.000000000000000E+000	4.557354171191652E-002
3.592688182114707E+005	3.9879942E+000	4.673273339978522E-002	0.000000000000000E+000	1.159191687868701E-003	4.673273339978522E-002	2.0880000E-001	116	3.592688182114707E+005	2.086544820520077E-001	8.872925286254502E-001	0.000000000000000E+000	4.673273339978522E-002
3.592888182135569E+005	3.9893336E+000	4.789192490160465E-002	0.000000000000000E+000	1.159191501819425E-003	4.789192490160465E-002	2.0880000E-001	116	3.592888182135569E+005	2.086544485631415E-001	8.869773241826948E-001	0.000000000000000E+000	4.789192490160465E-002
3.593088182156431E+005	3.9906335E+000	4.905112882494926E-002	0.000000000000000E+000	1.159203923344612E-003	4.905112882494926E-002	2.0880000E-001	116	3.593088182156431E+005	2.086566844374420E-001	8.866621163623095E-001	0.000000000000000E+000	4.905112882494926E-002
3.593288182177292E+005	3.9918547E+000	5.021033703837129E-002	0.000000000000000E+000	1.159208213422033E-003	5.021033703837130E-002	2.0880000E-001	116	3.593288182177292E+005	2.086574566512973E-001	8.863469073753771E-001	0.000000000000000E+000	5.021033703837129E-002
3.593488182198154E+005	3.9931548E+000	5.136954807536469E-002	0.000000000000000E+000	1.159211036993398E-003	5.136954807536469E-002	2.0880000E-001	116	3.593488182198154E+005	2.086579648940898E-001	8.860316976206664E-001	0.000000000000000E+000	5.136954807536469E-002
3.593688182219015E+005	3.9944153E+000	5.252875451584656E-002	0.000000000000000E+000	1.159206440481875E-003	5.252875451584657E-002	2.0880000E-001	116	3.593688182219015E+005	2.086571375221019E-001	8.857164891158275E-001	0.000000000000000E+000	5.252875451584656E-002
3.593888182239877E+005	3.9957151E+000	5.368797274309727E-002	0.000000000000000E+000	1.159218227250709E-003	5.368797274309728E-002	2.0880000E-001	116	3.593888182239877E+005	2.086592591402708E-001	8.854012774059600E-001	0.000000000000000E+000	5.368797274309727E-002
3.594088182260739E+005	3.9968970E+000	5.484717403986387E-002	0.000000000000000E+000	1.159201296766599E-003	5.484717403986387E-002	2.0880000E-001	116	3.594088182260739E+005	2.086562116534489E-001	8.850860702997871E-001	0.000000000000000E+000	5.484717403986387E-002
3.594288182281600E+005	3.9981182E+000	5.600637709862655E-002	0.000000000000000E+000	1.159203058762683E-003	5.600637709862656E-002	2.0880000E-001	116	3.594288182281600E+005	2.086565288127109E-001	8.847708627144969E-001	0.000000000000000E+000	5.600637709862655E-002
3.594488182302462E+005	3.9992604E+000	5.716558013550108E-002	0.000000000000000E+000	1.159203036874533E-003	5.716558013550109E-002	2.0880000E-001	116	3.594488182302462E+005	2.086565248728443E-001	8.844556551351583E-001	0.000000000000000E+000	5.716558013550108E-002
3.594688182323324E+005	4.0003633E+000	5.832479690718981E-002	0.000000000000000E+000	1.159216771688726E-003	5.832479690718982E-002	2.0880000E-001	116	3.594688182323324E+005	2.086589971391413E-001	8.841404438210836E-001	0.000000000000000E+000	5.832479690718981E-002
3.594888182344185E+005	4.0017419E+000	5.948401107418867E-002	0.000000000000000E+000	1.159214166998863E-003	5.948401107418868E-002	2.0880000E-001	116	3.594888182344185E+005	2.086585282950148E-001	8.838252332152695E-001	0.000000000000000E+000	5.948401107418867E-002
3.595088182365047E+005	4.0028057E+000	6.064322166247500E-002	0.000000000000000E+000	1.159210588286320E-003	6.064322166247500E-002	2.0880000E-001	116	3.595088182365047E+005	2.086578841268243E-001	8.835100235825700E-001	0.000000000000000E+000	6.064322166247500E-002
3.595288182385908E+005	4.0040269E+000	6.180243280890915E-002	0.000000000000000E+000	1.159211146434148E-003	6.180243280890915E-002	2.0880000E-001	116	3.595288182385908E+005	2.086579845934228E-001	8.831948137981004E-001	0.000000000000000E+000	6.180243280890915E-002
3.595488182406770E+005	4.0051689E+000	6.296164249978131E-002	0.000000000000000E+000	1.159209690872166E-003	6.296164249978131E-002	2.0880000E-001	116	3.595488182406770E+005	2.086577225922933E-001	8.828796044094235E-001	0.000000000000000E+000	6.296164249978131E-002
3.595688182427632E+005	4.0063114E+000	6.412084984862142E-002	0.000000000000000E+000	1.159207348840104E-003	6.412084984862142E-002	2.0880000E-001	116	3.595688182427632E+005	2.086573010265662E-001	8.825643956575862E-001	0.000000000000000E+000	6.412084984862142E-002
3.595888182448493E+005	4.0074930E+000	6.528005728501413E-002	0.000000000000000E+000	1.159207436392705E-003	6.528005728501413E-002	2.0880000E-001	116	3.595888182448493E+005	2.086573167860327E-001	8.822491868819416E-001	0.000000000000000E+000	6.528005728501413E-002
3.596088182469355E+005	4.0087538E+000	6.643926384588082E-002	0.000000000000000E+000	1.159206560866700E-003	6.643926384588082E-002	2.0880000E-001	116	3.596088182469355E+005	2.086571591913683E-001	8.819339783443679E-001	0.000000000000000E+000	6.643926384588082E-002
3.596288182490217E+005	4.0097780E+000	6.759846867758366E-002	0.000000000000000E+000	1.159204831702842E-003	6.759846867758366E-002	2.0880000E-001	116	3.596288182490217E+005	2.086568479419062E-001	8.816187702769842E-001	0.000000000000000E+000	6.759846867758366E-002
3.596488182511078E+005	4.0109992E+000	6.875767997723486E-002	0.000000000000000E+000	1.159211299651199E-003	6.875767997723486E-002	2.0880000E-001	116	3.596488182511078E+005	2.086580121724891E-001	8.813035604508521E-001	0.000000000000000E+000	6.875767997723486E-002
3.596688182531940E+005	4.0121021E+000	6.991690303082267E-002	0.000000000000000E+000	1.159223053587808E-003	6.991690303082268E-002	2.0880000E-001	116	3.596688182531940E+005	2.086601278808580E-001	8.809883474286192E-001	0.000000000000000E+000	6.991690303082267E-002
3.596888182552801E+005	4.0131264E+000	7.107612694899240E-002	0.000000000000000E+000	1.159223918169737E-003	7.107612694899242E-002	2.0880000E-001	116	3.596888182552801E+005	2.086602835055890E-001	8.806731341712912E-001	0.000000000000000E+000	7.107612694899240E-002
3.597088182573663E+005	4.0143080E+000	7.223535513535141E-002	0.000000000000000E+000	1.159228186359008E-003	7.223535513535143E-002	2.0880000E-001	116	3.597088182573663E+005	2.086610517795777E-001	8.803579197533681E-001	0.000000000000000E+000	7.223535513535141E-002
3.597288182594525E+005	4.0154901E+000	7.339459624666306E-002	0.000000000000000E+000	1.159241111311648E-003	7.339459624666307E-002	2.0880000E-001	116	3.597288182594525E+005	2.086633782708101E-001	8.800427018209241E-001	0.000000000000000E+000	7.339459624666306E-002
3.597488182615386E+005	4.0165930E+000	7.455383385587069E-002	0.000000000000000E+000	1.159237609207630E-003	7.455383385587069E-002	2.0880000E-001	116	3.597488182615386E+005	2.086627478921527E-001	8.797274848407636E-001	0.000000000000000E+000	7.455383385587069E-002
3.597688182636248E+005	4.0176959E+000	7.571305886844794E-002	0.000000000000000E+000	1.159225012577242E-003	7.571305886844794E-002	2.0880000E-001	116	3.597688182636248E+005	2.086604804989194E-001	8.794122712858471E-001	0.000000000000000E+000	7.571305886844794E-002
3.597888182657110E+005	4.0187988E+000	7.687228430784411E-002	0.000000000000000E+000	1.159225439396169E-003	7.687228430784411E-002	2.0880000E-001	116	3.597888182657110E+005	2.086605573263183E-001	8.790970576148711E-001	0.000000000000000E+000	7.687228430784411E-002
3.598088182677971E+005	4.0199018E+000	7.803150477863020E-002	0.000000000000000E+000	1.159220470786095E-003	7.803150477863020E-002	2.0880000E-001	116	3.598088182677971E+005	2.086596629765981E-001	8.787818452949471E-001	0.000000000000000E+000	7.803150477863020E-002
3.598288182698833E+005	4.0209260E+000	7.919072333420317E-002	0.000000000000000E+000	1.159218555572960E-003	7.919072333420317E-002	2.0880000E-001	116	3.598288182698833E+005	2.086593182382699E-001	8.784666334958030E-001	0.000000000000000E+000	7.919072333420317E-002
3.598488182719694E+005	4.0221472E+000	8.034993910998106E-002	0.000000000000000E+000	1.159215775777896E-003	8.034993910998106E-002	2.0880000E-001	116	3.598488182719694E+005	2.086588178752106E-001	8.781514224525339E-001	0.000000000000000E+000	8.034993910998106E-002
3.598688182740556E+005	4.0232105E+000	8.150915507180824E-002	0.000000000000000E+000	1.159215961827172E-003	8.150915507180823E-002	2.0880000E-001	116	3.598688182740556E+005	2.086588513640767E-001	8.778362113586746E-001	0.000000000000000E+000	8.150915507180824E-002
3.598888182761418E+005	4.0242743E+000	8.266838011721771E-002	0.000000000000000E+000	1.159225045409467E-003	8.266838011721769E-002	2.0880000E-001	116	3.598888182761418E+005	2.086604864087193E-001	8.775209977948305E-001	0.000000000000000E+000	8.266838011721771E-002
3.599088182782279E+005	4.0252986E+000	8.382763221638070E-002	0.000000000000000E+000	1.159252099163002E-003	8.382763221638070E-002	2.0880000E-001	116	3.599088182782279E+005	2.086653560838477E-001	8.772057768745977E-001	0.000000000000000E+000	8.382763221638070E-002
3.599288182803141E+005	4.0264406E+000	8.498687333863643E-002	0.000000000000000E+000	1.159241122255723E-003	8.498687333863643E-002	2.0880000E-001	116	3.599288182803141E+005	2.086633802407435E-001	8.768905589391779E-001	0.000000000000000E+000	8.498687333863643E-002
3.599488182824003E+005	4.0275044E+000	8.614611728446352E-002	0.000000000000000E+000	1.159243945827087E-003	8.614611728446352E-002	2.0880000E-001	116	3.599488182824003E+005	2.086638884835360E-001	8.765753402359797E-001	0.000000000000000E+000	8.614611728446352E-002
3.599688182844864E+005	4.0286074E+000	8.730535757496953E-002	0.000000000000000E+000	1.159240290506019E-003	8.730535757496953E-002	2.0880000E-001	116	3.599688182844864E+005	2.086632305258123E-001	8.762601225267271E-001	0.000000000000000E+000	8.730535757496953E-002
3.599888182865726E+005	4.0297499E+000	8.846459062049786E-002	0.000000000000000E+000	1.159233045528332E-003	8.846459062049786E-002	2.0880000E-001	116	3.599888182865726E+005	2.086619264299648E-001	8.759449067875108E-001	0.000000000000000E+000	8.846459062049786E-002
3.600088182886587E+005	4.0307345E+000	8.962382388490769E-002	0.000000000000000E+000	1.159233264409833E-003	8.962382388490769E-002	2.0880000E-001	116	3.600088182886587E+005	2.086619658286309E-001	8.756296909887767E-001	0.000000000000000E+000	8.962382388490769E-002
3.600288182907449E+005	4.0318770E+000	9.078306543398235E-002	0.000000000000000E+000	1.159241549074650E-003	9.078306543398235E-002	2.0880000E-001	116	3.600288182907449E+005	2.086634570681423E-001	8.753144729372975E-001	0.000000000000000E+000	9.078306543398235E-002
3.600488182928311E+005	4.0330191E+000	9.194230682983995E-002	0.000000000000000E+000	1.159241395857599E-003	9.194230682983995E-002	2.0880000E-001	116	3.600488182928311E+005	2.086634294890760E-001	8.749992549274805E-001	0.000000000000000E+000	9.194230682983995E-002
