time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
3.606204643524587E+005	3.7866247E+000	1.154393206040065E-007	0.000000000000000E+000	1.154393206040065E-007	1.154393206040065E-007	2.0799999E-001	116	3.606204643524587E+005	0.000000000000000E+000	8.999999446483545E-001	0.000000000000000E+000	1.154393206040065E-007
3.606205043524625E+005	3.7918243E+000	2.424444614185227E-006	0.000000000000000E+000	2.309005293581221E-006	2.424444614185227E-006	2.0799999E-001	116	3.606205043524625E+005	2.078104568749143E-001	8.999993143928594E-001	0.000000000000000E+000	2.424444614185227E-006
3.606206223524751E+005	3.7968271E+000	9.237071805530124E-006	0.000000000000000E+000	6.812627191344897E-006	9.237071805530124E-006	2.0799999E-001	116	3.606206223524751E+005	2.078428412896571E-001	8.999974548493859E-001	0.000000000000000E+000	9.237071805530124E-006
3.606207883524923E+005	3.8019085E+000	1.882136993110180E-005	0.000000000000000E+000	9.584298125571674E-006	1.882136993110180E-005	2.0799999E-001	116	3.606207883524923E+005	2.078522269726292E-001	8.999948387633259E-001	0.000000000000000E+000	1.882136993110180E-005
3.606210043525146E+005	3.8069508E+000	3.129287680817975E-005	0.000000000000000E+000	1.247150687707795E-005	3.129287680817975E-005	2.0799999E-001	116	3.606210043525146E+005	2.078584264277102E-001	8.999914345980067E-001	0.000000000000000E+000	3.129287680817975E-005
3.606212683525421E+005	3.8120716E+000	4.653558402425713E-005	0.000000000000000E+000	1.524270721607738E-005	4.653558402425713E-005	2.0799999E-001	116	3.606212683525421E+005	2.078550767963400E-001	8.999872740185524E-001	0.000000000000000E+000	4.653558402425713E-005
3.606215763525749E+005	3.8170743E+000	6.431906164520318E-005	0.000000000000000E+000	1.778347762094604E-005	6.431906164520316E-005	2.0799999E-001	116	3.606215763525749E+005	2.078588072068648E-001	8.999824199220611E-001	0.000000000000000E+000	6.431906164520318E-005
3.606219523526141E+005	3.8221164E+000	8.602880039976704E-005	0.000000000000000E+000	2.170973875456386E-005	8.602880039976702E-005	2.0799999E-001	116	3.606219523526141E+005	2.078591791272165E-001	8.999764941313377E-001	0.000000000000000E+000	8.602880039976704E-005
3.606224103526613E+005	3.8271191E+000	1.124738167226315E-004	0.000000000000000E+000	2.644501632286442E-005	1.124738167226315E-004	2.0799999E-001	116	3.606224103526613E+005	2.078647357317766E-001	8.999692758209666E-001	0.000000000000000E+000	1.124738167226315E-004
3.606230103527242E+005	3.8321612E+000	1.471173339999384E-004	0.000000000000000E+000	3.464351727730698E-005	1.471173339999384E-004	2.0799999E-001	116	3.606230103527242E+005	2.078610818531843E-001	8.999598196853758E-001	0.000000000000000E+000	1.471173339999384E-004
3.606237923528058E+005	3.8372033E+000	1.922695285578569E-004	0.000000000000000E+000	4.515219455791845E-005	1.922695285578569E-004	2.0799999E-001	116	3.606237923528058E+005	2.078617435347171E-001	8.999474951494302E-001	0.000000000000000E+000	1.922695285578569E-004
3.606248523529163E+005	3.8422060E+000	2.534741909553607E-004	0.000000000000000E+000	6.120466239750385E-005	2.534741909553607E-004	2.0799999E-001	116	3.606248523529163E+005	2.078648695085594E-001	8.999307890054843E-001	0.000000000000000E+000	2.534741909553607E-004
3.606262883530660E+005	3.8472087E+000	3.363874320437511E-004	0.000000000000000E+000	8.291324108839035E-005	3.363874320437511E-004	2.0799999E-001	116	3.606262883530660E+005	2.078604713106565E-001	8.999081573874608E-001	0.000000000000000E+000	3.363874320437511E-004
3.606283003532756E+005	3.8522115E+000	4.525591155555513E-004	0.000000000000000E+000	1.161716835118002E-004	4.525591155555513E-004	2.0799999E-001	116	3.606283003532756E+005	2.078618375068858E-001	8.998764476975261E-001	0.000000000000000E+000	4.525591155555513E-004
3.606309423535513E+005	3.8572142E+000	6.051063548525175E-004	0.000000000000000E+000	1.525472392969661E-004	6.051063548525175E-004	2.0799999E-001	116	3.606309423535513E+005	2.078614701624327E-001	8.998348091027130E-001	0.000000000000000E+000	6.051063548525175E-004
3.606342223538933E+005	3.8622169E+000	7.944925488366022E-004	0.000000000000000E+000	1.893861939840846E-004	7.944925488366021E-004	2.0799999E-001	116	3.606342223538933E+005	2.078628741591247E-001	8.997831151157825E-001	0.000000000000000E+000	7.944925488366022E-004
3.606384243543316E+005	3.8672197E+000	1.037114491512378E-003	0.000000000000000E+000	2.426219426757759E-004	1.037114491512378E-003	2.0799999E-001	116	3.606384243543316E+005	2.078626612422548E-001	8.997168901430436E-001	0.000000000000000E+000	1.037114491512378E-003
3.606435123548629E+005	3.8722222E+000	1.330891747027636E-003	0.000000000000000E+000	2.937772555152575E-004	1.330891747027636E-003	2.0799999E-001	116	3.606435123548629E+005	2.078612439890943E-001	8.996367020507249E-001	0.000000000000000E+000	1.330891747027636E-003
3.606495763554955E+005	3.8772249E+000	1.681022893306282E-003	0.000000000000000E+000	3.501311462786463E-004	1.681022893306282E-003	2.0799999E-001	116	3.606495763554955E+005	2.078614767656774E-001	8.995411318588386E-001	0.000000000000000E+000	1.681022893306282E-003
3.606568023562487E+005	3.8822277E+000	2.098246512313684E-003	0.000000000000000E+000	4.172236190074020E-004	2.098246512313684E-003	2.0799999E-001	116	3.606568023562487E+005	2.078611779489472E-001	8.994272484133016E-001	0.000000000000000E+000	2.098246512313684E-003
3.606654263571482E+005	3.8872304E+000	2.596191261948811E-003	0.000000000000000E+000	4.979447496351268E-004	2.596191261948811E-003	2.0799999E-001	116	3.606654263571482E+005	2.078618867945269E-001	8.992913316981587E-001	0.000000000000000E+000	2.596191261948811E-003
3.606754403581927E+005	3.8922725E+000	3.174388906094763E-003	0.000000000000000E+000	5.781976441459523E-004	3.174388906094763E-003	2.0799999E-001	116	3.606754403581927E+005	2.078601260062925E-001	8.991335095209929E-001	0.000000000000000E+000	3.174388906094763E-003
3.606872403594237E+005	3.8972752E+000	3.855702887202302E-003	0.000000000000000E+000	6.813139811075396E-004	3.855702887202302E-003	2.0799999E-001	116	3.606872403594237E+005	2.078584810261646E-001	8.989475411814113E-001	0.000000000000000E+000	3.855702887202302E-003
3.607009763608566E+005	3.9023566E+000	4.648797884989116E-003	0.000000000000000E+000	7.930949977868133E-004	4.648797884989116E-003	2.0799999E-001	116	3.607009763608566E+005	2.078583062170871E-001	8.987310616081766E-001	0.000000000000000E+000	4.648797884989116E-003
3.607186563627005E+005	3.9073594E+000	5.669617177620529E-003	0.000000000000000E+000	1.020819292631414E-003	5.669617177620530E-003	2.0799999E-001	116	3.607186563627005E+005	2.078591103048957E-001	8.984524234558302E-001	0.000000000000000E+000	5.669617177620529E-003
3.607376243646792E+005	3.9123621E+000	6.764813636723491E-003	0.000000000000000E+000	1.095196459102962E-003	6.764813636723492E-003	2.0799999E-001	116	3.607376243646792E+005	2.078609680237867E-001	8.981534836532387E-001	0.000000000000000E+000	6.764813636723491E-003
3.607576243667654E+005	3.9166164E+000	7.919595455833607E-003	0.000000000000000E+000	1.154781819110115E-003	7.919595455833607E-003	2.0799999E-001	116	3.607576243667654E+005	2.078607057582596E-001	8.978382797040552E-001	0.000000000000000E+000	7.919595455833607E-003
3.607776243688515E+005	3.9205163E+000	9.074385559575425E-003	0.000000000000000E+000	1.154790103741818E-003	9.074385559575425E-003	2.0799999E-001	116	3.607776243688515E+005	2.078621969918105E-001	8.975230734935367E-001	0.000000000000000E+000	9.074385559575425E-003
3.607976243709377E+005	3.9241796E+000	1.022916983015007E-002	0.000000000000000E+000	1.154784270574649E-003	1.022916983015008E-002	2.0799999E-001	116	3.607976243709377E+005	2.078611470218296E-001	8.972078688752126E-001	0.000000000000000E+000	1.022916983015007E-002
3.608176243730239E+005	3.9274490E+000	1.138394444805052E-002	0.000000000000000E+000	1.154774617900451E-003	1.138394444805053E-002	2.0799999E-001	116	3.608176243730239E+005	2.078594095406552E-001	8.968926668916383E-001	0.000000000000000E+000	1.138394444805052E-002
3.608376243751100E+005	3.9305215E+000	1.253872451615002E-002	0.000000000000000E+000	1.154780068099499E-003	1.253872451615002E-002	2.0799999E-001	116	3.608376243751100E+005	2.078603905763815E-001	8.965774634204026E-001	0.000000000000000E+000	1.253872451615002E-002
3.608576243771962E+005	3.9332397E+000	1.369349141851067E-002	0.000000000000000E+000	1.154766902360651E-003	1.369349141851068E-002	2.0799999E-001	116	3.608576243771962E+005	2.078580207436361E-001	8.962622635428267E-001	0.000000000000000E+000	1.369349141851067E-002
3.608776243792824E+005	3.9358001E+000	1.484826757953399E-002	0.000000000000000E+000	1.154776161023312E-003	1.484826757953399E-002	2.0799999E-001	116	3.608776243792824E+005	2.078596873027413E-001	8.959470611380486E-001	0.000000000000000E+000	1.484826757953399E-002
3.608976243813685E+005	3.9383211E+000	1.600305131380757E-002	0.000000000000000E+000	1.154783734273579E-003	1.600305131380757E-002	2.0799999E-001	116	3.608976243813685E+005	2.078610504876472E-001	8.956318566661109E-001	0.000000000000000E+000	1.600305131380757E-002
3.609176243834547E+005	3.9406059E+000	1.715783328612646E-002	0.000000000000000E+000	1.154781972318888E-003	1.715783328612645E-002	2.0799999E-001	116	3.609176243834547E+005	2.078607333358357E-001	8.953166526751082E-001	0.000000000000000E+000	1.715783328612646E-002
3.609376243855408E+005	3.9429300E+000	1.831261746914850E-002	0.000000000000000E+000	1.154784183022049E-003	1.831261746914850E-002	2.0799999E-001	116	3.609376243855408E+005	2.078611312623632E-001	8.950014480806822E-001	0.000000000000000E+000	1.831261746914850E-002
3.609576243876270E+005	3.9450965E+000	1.946739333468179E-002	0.000000000000000E+000	1.154775865533286E-003	1.946739333468179E-002	2.0799999E-001	116	3.609576243876270E+005	2.078596341145420E-001	8.946862457565596E-001	0.000000000000000E+000	1.946739333468179E-002
3.609776243897132E+005	3.9472237E+000	2.062216296209229E-002	0.000000000000000E+000	1.154769627410505E-003	2.062216296209229E-002	2.0799999E-001	116	3.609776243897132E+005	2.078585112525586E-001	8.943710451351666E-001	0.000000000000000E+000	2.062216296209229E-002
3.609976243917993E+005	3.9491143E+000	2.177693288500938E-002	0.000000000000000E+000	1.154769922917088E-003	2.177693288500938E-002	2.0799999E-001	116	3.609976243917993E+005	2.078585644437380E-001	8.940558444331134E-001	0.000000000000000E+000	2.177693288500938E-002
3.610176243938855E+005	3.9511232E+000	2.293170163686077E-002	0.000000000000000E+000	1.154768751851387E-003	2.293170163686077E-002	2.0799999E-001	116	3.610176243938855E+005	2.078583536519338E-001	8.937406440507090E-001	0.000000000000000E+000	2.293170163686077E-002
3.610376243959717E+005	3.9528959E+000	2.408648692525923E-002	0.000000000000000E+000	1.154785288398465E-003	2.408648692525923E-002	2.0799999E-001	116	3.610376243959717E+005	2.078613302300973E-001	8.934254391545644E-001	0.000000000000000E+000	2.408648692525923E-002
3.610576243980578E+005	3.9547868E+000	2.524126464030809E-002	0.000000000000000E+000	1.154777715048856E-003	2.524126464030809E-002	2.0799999E-001	116	3.610576243980578E+005	2.078599670273100E-001	8.931102363256066E-001	0.000000000000000E+000	2.524126464030809E-002
3.610776244001440E+005	3.9565988E+000	2.639605659363998E-002	0.000000000000000E+000	1.154791953331894E-003	2.639605659363998E-002	2.0799999E-001	116	3.610776244001440E+005	2.078625299179895E-001	8.927950296102325E-001	0.000000000000000E+000	2.639605659363998E-002
3.610976244022301E+005	3.9582531E+000	2.755085163319276E-002	0.000000000000000E+000	1.154795039552781E-003	2.755085163319276E-002	2.0799999E-001	116	3.610976244022301E+005	2.078630854376912E-001	8.924798220524576E-001	0.000000000000000E+000	2.755085163319276E-002
