time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
3.587854781610547E+005	3.7989140E+000	1.128559642367893E-007	0.000000000000000E+000	1.128559642367893E-007	1.128559642367893E-007	2.0339999E-001	116	3.587854781610547E+005	0.000000000000000E+000	8.999999446633566E-001	0.000000000000000E+000	1.128559642367893E-007
3.587855061610574E+005	3.8041525E+000	1.693167885144551E-006	0.000000000000000E+000	1.580311920907762E-006	1.693167885144552E-006	2.0339999E-001	116	3.587855061610574E+005	2.031829414716372E-001	8.999995036447080E-001	0.000000000000000E+000	1.693167885144551E-006
3.587855901610663E+005	3.8091941E+000	6.435099666317304E-006	0.000000000000000E+000	4.741931781172753E-006	6.435099666317304E-006	2.0339999E-001	116	3.587855901610663E+005	2.032256262825589E-001	8.999981803108028E-001	0.000000000000000E+000	6.435099666317304E-006
3.587857301610811E+005	3.8141961E+000	1.433856373859777E-005	0.000000000000000E+000	7.903464072280460E-006	1.433856373859776E-005	2.0339999E-001	116	3.587857301610811E+005	2.032319118045598E-001	8.999959746860789E-001	0.000000000000000E+000	1.433856373859777E-005
3.587859161611004E+005	3.8191984E+000	2.483906134135193E-005	0.000000000000000E+000	1.050049760275417E-005	2.483906134135193E-005	2.0339999E-001	116	3.587859161611004E+005	2.032354163712472E-001	8.999930443055629E-001	0.000000000000000E+000	2.483906134135193E-005
3.587861481611244E+005	3.8243186E+000	3.793669098781215E-005	0.000000000000000E+000	1.309762964646022E-005	3.793669098781215E-005	2.0339999E-001	116	3.587861481611244E+005	2.032390596454602E-001	8.999893891417627E-001	0.000000000000000E+000	3.793669098781215E-005
3.587864201611532E+005	3.8293209E+000	5.329232652154234E-005	0.000000000000000E+000	1.535563553373019E-005	5.329232652154234E-005	2.0339999E-001	116	3.587864201611532E+005	2.032363311691922E-001	8.999851038348297E-001	0.000000000000000E+000	5.329232652154234E-005
3.587867421611864E+005	3.8343229E+000	7.147132046520710E-005	0.000000000000000E+000	1.817899394366476E-005	7.147132046520710E-005	2.0339999E-001	116	3.587867421611864E+005	2.032433895807858E-001	8.999800306114770E-001	0.000000000000000E+000	7.147132046520710E-005
3.587871261612263E+005	3.8393252E+000	9.315092910495069E-005	0.000000000000000E+000	2.167960863974359E-005	9.315092910495069E-005	2.0339999E-001	116	3.587871261612263E+005	2.032463098831251E-001	8.999739804693642E-001	0.000000000000000E+000	9.315092910495069E-005
3.587875961612752E+005	3.8443668E+000	1.196853035108911E-004	0.000000000000000E+000	2.653437440594037E-005	1.196853035108911E-004	2.0339999E-001	116	3.587875961612752E+005	2.032419955950240E-001	8.999665755046945E-001	0.000000000000000E+000	1.196853035108911E-004
3.587881961613381E+005	3.8493688E+000	1.535589933643738E-004	0.000000000000000E+000	3.387368985348278E-005	1.535589933643738E-004	2.0339999E-001	116	3.587881961613381E+005	2.032421177949024E-001	8.999571223526148E-001	0.000000000000000E+000	1.535589933643738E-004
3.587889881614205E+005	3.8543711E+000	1.982724493493636E-004	0.000000000000000E+000	4.471345598498980E-005	1.982724493493636E-004	2.0339999E-001	116	3.587889881614205E+005	2.032429606246275E-001	8.999446441401360E-001	0.000000000000000E+000	1.982724493493636E-004
3.587900541615319E+005	3.8594124E+000	2.584549003673924E-004	0.000000000000000E+000	6.018245101802879E-005	2.584549003673924E-004	2.0339999E-001	116	3.587900541615319E+005	2.032427776955333E-001	8.999278489854168E-001	0.000000000000000E+000	2.584549003673924E-004
3.587915341616860E+005	3.8644540E+000	3.420087813834349E-004	0.000000000000000E+000	8.355388101604250E-005	3.420087813834349E-004	2.0339999E-001	116	3.587915341616860E+005	2.032391488753370E-001	8.999045315509269E-001	0.000000000000000E+000	3.420087813834349E-004
3.587935941619009E+005	3.8694563E+000	4.583065121952030E-004	0.000000000000000E+000	1.162977308117681E-004	4.583065121952030E-004	2.0339999E-001	116	3.587935941619009E+005	2.032387316672133E-001	8.998720762695377E-001	0.000000000000000E+000	4.583065121952030E-004
3.587962981621828E+005	3.8744583E+000	6.109647592984968E-004	0.000000000000000E+000	1.526582471032937E-004	6.109647592984968E-004	2.0339999E-001	116	3.587962981621828E+005	2.032432072056209E-001	8.998294738358400E-001	0.000000000000000E+000	6.109647592984968E-004
3.587997981625479E+005	3.8794999E+000	8.085636302580437E-004	0.000000000000000E+000	1.975988709595468E-004	8.085636302580437E-004	2.0339999E-001	116	3.587997981625479E+005	2.032445317869057E-001	8.997743297937817E-001	0.000000000000000E+000	8.085636302580437E-004
3.588042841630159E+005	3.8845415E+000	1.061827221926716E-003	0.000000000000000E+000	2.532635916686721E-004	1.061827221926716E-003	2.0339999E-001	116	3.588042841630159E+005	2.032431642632009E-001	8.997036513628626E-001	0.000000000000000E+000	1.061827221926716E-003
3.588098441635959E+005	3.8895435E+000	1.375728978986541E-003	0.000000000000000E+000	3.139017570598258E-004	1.375728978986541E-003	2.0339999E-001	116	3.588098441635959E+005	2.032457207779374E-001	8.996160506007256E-001	0.000000000000000E+000	1.375728978986541E-003
3.588168161643231E+005	3.8945458E+000	1.769348488400380E-003	0.000000000000000E+000	3.936195094138384E-004	1.769348488400380E-003	2.0339999E-001	116	3.588168161643231E+005	2.032458528528417E-001	8.995062029549538E-001	0.000000000000000E+000	1.769348488400380E-003
3.588253181652101E+005	3.8995481E+000	2.249342917054892E-003	0.000000000000000E+000	4.799944286545118E-004	2.249342917054892E-003	2.0339999E-001	116	3.588253181652101E+005	2.032439147129709E-001	8.993722506057681E-001	0.000000000000000E+000	2.249342917054892E-003
3.588359461663188E+005	3.9045501E+000	2.849363800038894E-003	0.000000000000000E+000	6.000208829840025E-004	2.849363800038894E-003	2.0339999E-001	116	3.588359461663188E+005	2.032437856033770E-001	8.992048023979599E-001	0.000000000000000E+000	2.849363800038894E-003
3.588490841676891E+005	3.9095917E+000	3.591094631941782E-003	0.000000000000000E+000	7.417308319028881E-004	3.591094631941782E-003	2.0339999E-001	116	3.588490841676891E+005	2.032448406420634E-001	8.989978071049617E-001	0.000000000000000E+000	3.591094631941782E-003
3.588656101694126E+005	3.9145937E+000	4.524107585557633E-003	0.000000000000000E+000	9.330129536158509E-004	4.524107585557633E-003	2.0339999E-001	116	3.588656101694126E+005	2.032461746778225E-001	8.987374305891179E-001	0.000000000000000E+000	4.524107585557633E-003
3.588856101714987E+005	3.9193203E+000	5.653254931809174E-003	0.000000000000000E+000	1.129147346251541E-003	5.653254931809174E-003	2.0339999E-001	116	3.588856101714987E+005	2.032465011250152E-001	8.984223187241093E-001	0.000000000000000E+000	5.653254931809174E-003
