time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
3.721180255517475E+005	3.5536337E+000	2.390219602319929E-007	0.000000000000000E+000	2.390219602319929E-007	2.390219602319929E-007	4.3039998E-001	116	3.721180255517475E+005	0.000000000000000E+000	8.999999126792302E-001	0.000000000000000E+000	2.390219602319929E-007
3.721181035517557E+005	3.5586360E+000	9.562093201610777E-006	0.000000000000000E+000	9.323071241378784E-006	9.562093201610777E-006	4.3039998E-001	116	3.721181035517557E+005	4.302955509137222E-001	8.999974366790441E-001	0.000000000000000E+000	9.562093201610777E-006
3.721183375517800E+005	3.5636382E+000	3.753244510955281E-005	0.000000000000000E+000	2.797035190794203E-005	3.753244510955281E-005	4.3039998E-001	116	3.721183375517800E+005	4.303130614319848E-001	8.999900083762095E-001	0.000000000000000E+000	3.753244510955281E-005
3.721186355518112E+005	3.5686798E+000	7.315315230025185E-005	0.000000000000000E+000	3.562070719069905E-005	7.315315230025186E-005	4.3039998E-001	116	3.721186355518112E+005	4.303172230931459E-001	8.999805483093120E-001	0.000000000000000E+000	7.315315230025185E-005
3.721189715518458E+005	3.5738001E+000	1.133165571921401E-004	0.000000000000000E+000	4.016340489188830E-005	1.133165571921402E-004	4.3039998E-001	116	3.721189715518458E+005	4.303221509757446E-001	8.999698818030274E-001	0.000000000000000E+000	1.133165571921401E-004
3.721193315518834E+005	3.5788417E+000	1.563485758172141E-004	0.000000000000000E+000	4.303201862507396E-005	1.563485758172141E-004	4.3039998E-001	116	3.721193315518834E+005	4.303201413203214E-001	8.999584534567919E-001	0.000000000000000E+000	1.563485758172141E-004
3.721197015519226E+005	3.5838439E+000	2.005762076709005E-004	0.000000000000000E+000	4.422763185368644E-005	2.005762076709005E-004	4.3039998E-001	116	3.721197015519226E+005	4.303228588996334E-001	8.999467075822979E-001	0.000000000000000E+000	2.005762076709005E-004
3.721200855519623E+005	3.5888460E+000	2.464778578281403E-004	0.000000000000000E+000	4.590165015723970E-005	2.464778578281403E-004	4.3039998E-001	116	3.721200855519623E+005	4.303279257799431E-001	8.999345171258066E-001	0.000000000000000E+000	2.464778578281403E-004
3.721204855520036E+005	3.5938876E+000	2.942916289468606E-004	0.000000000000000E+000	4.781377111872038E-005	2.942916289468606E-004	4.3039998E-001	116	3.721204855520036E+005	4.303238955829736E-001	8.999218188525527E-001	0.000000000000000E+000	2.942916289468606E-004
3.721209015520476E+005	3.5989292E+000	3.440176961322626E-004	0.000000000000000E+000	4.972606718540191E-005	3.440176961322625E-004	4.3039998E-001	116	3.721209015520476E+005	4.303216897710833E-001	8.999086127160321E-001	0.000000000000000E+000	3.440176961322626E-004
3.721213455520936E+005	3.6039314E+000	3.970908368461662E-004	0.000000000000000E+000	5.307314071390364E-005	3.970908368461662E-004	4.3039998E-001	116	3.721213455520936E+005	4.303227179604869E-001	8.998945176712895E-001	0.000000000000000E+000	3.970908368461662E-004
3.721217935521407E+005	3.6089337E+000	4.506422731942601E-004	0.000000000000000E+000	5.355143634809388E-005	4.506422731942601E-004	4.3039998E-001	116	3.721217935521407E+005	4.303239968190951E-001	8.998802956018737E-001	0.000000000000000E+000	4.506422731942601E-004
3.721222555521885E+005	3.6139753E+000	5.058668960962031E-004	0.000000000000000E+000	5.522462290194300E-005	5.058668960962031E-004	4.3039998E-001	116	3.721222555521885E+005	4.303216923869512E-001	8.998656291713548E-001	0.000000000000000E+000	5.058668960962031E-004
3.721227375522386E+005	3.6190169E+000	5.634826250705455E-004	0.000000000000000E+000	5.761572897434235E-005	5.634826250705454E-004	4.3039998E-001	116	3.721227375522386E+005	4.303249019363321E-001	8.998503277162903E-001	0.000000000000000E+000	5.634826250705455E-004
3.721232395522911E+005	3.6240189E+000	6.234889129135344E-004	0.000000000000000E+000	6.000628784298897E-005	6.234889129135343E-004	4.3039998E-001	116	3.721232395522911E+005	4.303239315747951E-001	8.998343913820052E-001	0.000000000000000E+000	6.234889129135344E-004
3.721237635523463E+005	3.6291001E+000	6.861251865161790E-004	0.000000000000000E+000	6.263627360264460E-005	6.861251865161790E-004	4.3039998E-001	116	3.721237635523463E+005	4.303254985385657E-001	8.998177565820468E-001	0.000000000000000E+000	6.861251865161790E-004
3.721243215524042E+005	3.6341021E+000	7.528253259261449E-004	0.000000000000000E+000	6.670013940996593E-005	7.528253259261449E-004	4.3039998E-001	116	3.721243215524042E+005	4.303234353849132E-001	8.998000425097935E-001	0.000000000000000E+000	7.528253259261449E-004
3.721248895524638E+005	3.6391044E+000	8.207211223410235E-004	0.000000000000000E+000	6.789579641487864E-005	8.207211223410235E-004	4.3039998E-001	116	3.721248895524638E+005	4.303254251003410E-001	8.997820108976555E-001	0.000000000000000E+000	8.207211223410235E-004
3.721254935525265E+005	3.6441066E+000	8.929195548097292E-004	0.000000000000000E+000	7.219843246870571E-005	8.929195548097292E-004	4.3039998E-001	116	3.721254935525265E+005	4.303217382682575E-001	8.997628366011601E-001	0.000000000000000E+000	8.929195548097292E-004
3.721261435525939E+005	3.6491089E+000	9.706181298858589E-004	0.000000000000000E+000	7.769857507612970E-005	9.706181298858589E-004	4.3039998E-001	116	3.721261435525939E+005	4.303305250120708E-001	8.997422015892238E-001	0.000000000000000E+000	9.706181298858589E-004
3.721268255526656E+005	3.6541502E+000	1.052141275207202E-003	0.000000000000000E+000	8.152314532134269E-005	1.052141275207202E-003	4.3039998E-001	116	3.721268255526656E+005	4.303274080417001E-001	8.997205508565669E-001	0.000000000000000E+000	1.052141275207202E-003
