time/s	Ecell/V	Capacity/mA.h	cycle number	dq/mA.h	(Q-Qo)/mA.h	control/V/mA	I Range	step time/s	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	
3.035806604027441E+005	3.4521899E+000	7.482762138048808E-008	0.000000000000000E+000	7.482762138048808E-008	7.482762138048808E-008	1.3470000E-001	117	3.035806604027441E+005	0.000000000000000E+000	8.999999444022475E-001	0.000000000000000E+000	7.482762138048808E-008
3.035807184027503E+005	3.4571919E+000	2.244912990265422E-006	0.000000000000000E+000	2.170085368884934E-006	2.244912990265422E-006	1.3470000E-001	117	3.035807184027503E+005	1.346949394224909E-001	8.999990234455079E-001	0.000000000000000E+000	2.244912990265422E-006
3.035809724027766E+005	3.4621942E+000	1.174862340920501E-005	0.000000000000000E+000	9.503710418939591E-006	1.174862340920501E-005	1.3470000E-001	117	3.035809724027766E+005	1.346982439766173E-001	8.999949901912000E-001	0.000000000000000E+000	1.174862340920501E-005
3.035813964028209E+005	3.4671965E+000	2.761311321622796E-005	0.000000000000000E+000	1.586448980702294E-005	2.761311321622796E-005	1.3470000E-001	117	3.035813964028209E+005	1.346984842711308E-001	8.999882575026990E-001	0.000000000000000E+000	2.761311321622796E-005
3.035819224028755E+005	3.4721985E+000	4.729409862723615E-005	0.000000000000000E+000	1.968098541100820E-005	4.729409862723616E-005	1.3470000E-001	117	3.035819224028755E+005	1.346987454969363E-001	8.999799051418114E-001	0.000000000000000E+000	4.729409862723615E-005
3.035825184029378E+005	3.4772401E+000	6.959419864747259E-005	0.000000000000000E+000	2.230010002023644E-005	6.959419864747259E-005	1.3470000E-001	117	3.035825184029378E+005	1.346985766457944E-001	8.999704412618629E-001	0.000000000000000E+000	6.959419864747259E-005
3.035831544030043E+005	3.4822421E+000	9.339101763235197E-005	0.000000000000000E+000	2.379681898487939E-005	9.339101763235199E-005	1.3470000E-001	117	3.035831544030043E+005	1.346989612956751E-001	8.999603421933463E-001	0.000000000000000E+000	9.339101763235197E-005
3.035838404030760E+005	3.4872444E+000	1.190586267991198E-004	0.000000000000000E+000	2.566760916676786E-005	1.190586267991198E-004	1.3470000E-001	117	3.035838404030760E+005	1.346988095373489E-001	8.999494491851759E-001	0.000000000000000E+000	1.190586267991198E-004
3.035845424031494E+005	3.4922466E+000	1.453250201294820E-004	0.000000000000000E+000	2.626639333036211E-005	1.453250201294820E-004	1.3470000E-001	117	3.035845424031494E+005	1.346994388941607E-001	8.999383020605921E-001	0.000000000000000E+000	1.453250201294820E-004
3.035852784032261E+005	3.4972486E+000	1.728635432736741E-004	0.000000000000000E+000	2.753852314419217E-005	1.728635432736741E-004	1.3470000E-001	117	3.035852784032261E+005	1.346992839625514E-001	8.999266150602306E-001	0.000000000000000E+000	1.728635432736741E-004
3.035860424033059E+005	3.5023296E+000	2.014496924231450E-004	0.000000000000000E+000	2.858614914947086E-005	2.014496924231450E-004	1.3470000E-001	117	3.035860424033059E+005	1.346991180437395E-001	8.999144834606639E-001	0.000000000000000E+000	2.014496924231450E-004
3.035868204033868E+005	3.5073318E+000	2.305596383743816E-004	0.000000000000000E+000	2.910994595123662E-005	2.305596383743816E-004	1.3470000E-001	117	3.035868204033868E+005	1.346989646780101E-001	8.999021295683702E-001	0.000000000000000E+000	2.305596383743816E-004
3.035876424034722E+005	3.5123732E+000	2.613158685714006E-004	0.000000000000000E+000	3.075623019701905E-005	2.613158685714006E-004	1.3470000E-001	117	3.035876424034722E+005	1.346988043907495E-001	8.998890770138978E-001	0.000000000000000E+000	2.613158685714006E-004
3.035885164035633E+005	3.5174541E+000	2.940178076095051E-004	0.000000000000000E+000	3.270193903810448E-005	2.940178076095051E-004	1.3470000E-001	117	3.035885164035633E+005	1.346990483584956E-001	8.998751987252417E-001	0.000000000000000E+000	2.940178076095051E-004
3.035893964036554E+005	3.5224957E+000	3.269441933598784E-004	0.000000000000000E+000	3.292638575037320E-005	3.269441933598783E-004	1.3470000E-001	117	3.035893964036554E+005	1.346988367011803E-001	8.998612251842442E-001	0.000000000000000E+000	3.269441933598784E-004
3.035903344037533E+005	3.5275373E+000	3.620407323870394E-004	0.000000000000000E+000	3.509653902716107E-005	3.620407323870394E-004	1.3470000E-001	117	3.035903344037533E+005	1.346988564122510E-001	8.998463306576878E-001	0.000000000000000E+000	3.620407323870394E-004
3.035912984038536E+005	3.5325394E+000	3.981101322919131E-004	0.000000000000000E+000	3.606939990487364E-005	3.981101322919130E-004	1.3470000E-001	117	3.035912984038536E+005	1.346989897834948E-001	8.998310232612992E-001	0.000000000000000E+000	3.981101322919131E-004
3.035922964039585E+005	3.5375810E+000	4.354517693734832E-004	0.000000000000000E+000	3.734163708157010E-005	4.354517693734831E-004	1.3470000E-001	117	3.035922964039585E+005	1.346992779179681E-001	8.998151759435696E-001	0.000000000000000E+000	4.354517693734832E-004
3.035933344040662E+005	3.5425832E+000	4.742900180319946E-004	0.000000000000000E+000	3.883824865851137E-005	4.742900180319945E-004	1.3470000E-001	117	3.035933344040662E+005	1.346991143138488E-001	8.997986934828460E-001	0.000000000000000E+000	4.742900180319946E-004
3.035944364041812E+005	3.5475852E+000	5.155229302826855E-004	0.000000000000000E+000	4.123291225069099E-005	5.155229302826854E-004	1.3470000E-001	117	3.035944364041812E+005	1.346991548236263E-001	8.997811947572298E-001	0.000000000000000E+000	5.155229302826855E-004
3.035955764043005E+005	3.5525875E+000	5.581776209920645E-004	0.000000000000000E+000	4.265469070937898E-005	5.581776209920645E-004	1.3470000E-001	117	3.035955764043005E+005	1.346990091919547E-001	8.997630926468470E-001	0.000000000000000E+000	5.581776209920645E-004
3.035967924044272E+005	3.5575895E+000	6.036759245395660E-004	0.000000000000000E+000	4.549830354750156E-005	6.036759245395660E-004	1.3470000E-001	117	3.035967924044272E+005	1.346989109441216E-001	8.997437837431987E-001	0.000000000000000E+000	6.036759245395660E-004
3.035980604045594E+005	3.5626311E+000	6.511199181775251E-004	0.000000000000000E+000	4.744399363795916E-005	6.511199181775252E-004	1.3470000E-001	117	3.035980604045594E+005	1.346990215246764E-001	8.997236491133244E-001	0.000000000000000E+000	6.511199181775251E-004
3.035993804046968E+005	3.5676334E+000	7.005096447302235E-004	0.000000000000000E+000	4.938972655269835E-005	7.005096447302235E-004	1.3470000E-001	117	3.035993804046968E+005	1.346992402100661E-001	8.997026887390498E-001	0.000000000000000E+000	7.005096447302235E-004
